日期,收盘,开盘,高,低,交易量,涨跌幅
2007年11月1日,4607.22 ,4648.69 ,"4,668.73","4,602.51",2.52B,-0.44%
2007年10月31日,4627.78 ,4652.96 ,"4,667.32","4,564.66",2.44B,0.77%
2007年10月30日,4592.33 ,4538.11 ,"4,593.34","4,476.28",2.02B,1.44%
2007年10月29日,4527.12 ,4453.33 ,"4,534.71","4,451.91",1.78B,2.19%
2007年10月26日,4429.98 ,4321.68 ,"4,460.65","4,313.80",1.55B,1.51%
2007年10月25日,4364.12 ,4511.51 ,"4,534.40","4,352.94",2.35B,-4.10%
2007年10月24日,4550.56 ,4496.51 ,"4,598.89","4,486.68",2.32B,1.68%
2007年10月23日,4475.44 ,4388.24 ,"4,478.73","4,342.03",2.10B,1.94%
2007年10月22日,4390.27 ,4441.53 ,"4,479.05","4,374.12",1.56B,-2.32%
2007年10月19日,4494.56 ,4545.63 ,"4,594.70","4,454.15",1.77B,-0.31%
2007年10月18日,4508.66 ,4676.52 ,"4,684.86","4,481.01",2.38B,-3.75%
2007年10月17日,4684.11 ,4713.75 ,"4,744.78","4,647.89",2.36B,-1.01%
2007年10月16日,4731.83 ,4726.08 ,"4,772.93","4,688.26",3.72B,0.80%
2007年10月15日,4694.31 ,4606.48 ,"4,695.83","4,572.43",3.67B,2.53%
2007年10月12日,4578.69 ,4601.98 ,"4,633.81","4,391.14",3.84B,0.02%
2007年10月11日,4577.88 ,4458.19 ,"4,579.65","4,439.24",3.42B,2.97%
2007年10月10日,4445.96 ,4444.67 ,"4,524.45","4,413.64",3.23B,0.46%
2007年10月9日,4425.70 ,4393.47 ,"4,438.56","4,351.90",2.50B,0.55%
2007年10月8日,4401.28 ,4407.50 ,"4,444.69","4,347.76",3.57B,2.18%
2007年9月28日,4307.42 ,4229.60 ,"4,315.35","4,229.60",2.10B,2.82%
2007年9月27日,4189.12 ,4142.07 ,"4,190.40","4,130.03",1.32B,1.18%
2007年9月26日,4140.32 ,4177.27 ,"4,245.90","4,128.26",1.50B,-1.26%
2007年9月25日,4193.06 ,4246.90 ,"4,265.37","4,169.82",1.75B,-0.91%
2007年9月24日,4231.75 ,4201.42 ,"4,245.97","4,134.27",2.18B,0.83%
2007年9月21日,4197.04 ,4227.33 ,"4,232.10","4,118.33",2.51B,-0.60%
